family,pi_conj,backbone_rig,dop_affinity,chain_len,mol_wt,homo_lumo_gap,ioniz_pot,electron_aff,sidechain_pol,crystallinity,charge_mob,disorder,dopant_conc,log_sigma,fp000,fp001,fp002,fp003,fp004,fp005,fp006,fp007,fp008,fp009,fp010,fp011,fp012,fp013,fp014,fp015,fp016,fp017,fp018,fp019,fp020,fp021,fp022,fp023,fp024,fp025,fp026,fp027,fp028,fp029,fp030,fp031,fp032,fp033,fp034,fp035,fp036,fp037,fp038,fp039,fp040,fp041,fp042,fp043,fp044,fp045,fp046,fp047,fp048,fp049,fp050,fp051,fp052,fp053,fp054,fp055,fp056,fp057,fp058,fp059,fp060,fp061,fp062,fp063
Polythiophene,0.9107,0.8484,0.8505,47,6354.6,0.9142,4.4681,3.2286,0.5602,0.4165,0.6861,0.6821,0.3177,8.5702,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Polypyrrole,0.925,0.781,0.8014,78,13157.7,1.0433,4.4329,3.2451,0.6891,0.722,0.7258,0.3396,0.3392,8.0637,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
PEDOT,0.9459,0.8365,0.755,16,1577.6,1.066,4.7317,3.4462,0.6671,0.7431,0.7128,0.267,0.286,9.4097,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Polythiophene,0.7856,0.6763,0.8495,36,5428.7,1.5466,4.5775,2.829,0.3343,0.4602,0.5051,0.6678,0.1475,7.5297,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Polyaniline,0.6973,0.5642,1.0,72,6482.0,1.522,4.2016,2.4208,0.2563,0.3109,0.4026,0.6812,0.2866,6.7874,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Polyaniline,0.8655,0.6592,0.8095,67,5823.8,1.2589,4.6797,3.1585,0.2146,0.5363,0.5659,0.4514,0.2437,7.0503,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
Polycarbazole,0.7131,0.9541,0.2889,20,3303.8,1.4407,5.1978,3.4641,0.5267,0.7783,0.4282,0.1943,0.0618,3.3637,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
Polythiophene,0.926,0.9221,0.8038,20,2363.4,0.7961,4.6154,3.728,0.3518,0.6048,0.6346,0.3778,0.0973,8.2887,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0
Polypyrrole,0.8982,0.7287,0.8321,75,12226.9,0.8975,4.4508,3.402,0.8927,0.4822,0.5971,0.4956,0.0572,7.7961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
Polypyrrole,0.9677,0.6608,0.8665,24,4479.7,0.9062,4.4124,3.4192,0.364,0.3244,0.7737,0.8407,0.0901,7.7515,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Polythiophene,0.9743,0.7814,0.7046,22,4308.0,0.6579,4.7114,3.9129,0.1494,0.6503,0.6742,0.4238,0.237,8.9955,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
PEDOT,1.0,0.8343,0.6911,48,8742.0,0.6605,4.8237,3.9443,0.8695,0.4284,0.8832,0.5643,0.3777,10.1862,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
Polypyrrole,0.9347,0.7129,0.9471,23,3029.2,0.9252,4.309,3.2426,0.6487,0.7836,0.6802,0.2221,0.2384,8.7121,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Polythiophene,0.9317,0.7631,0.7328,15,2403.3,0.7814,4.5932,3.5972,0.7559,0.5042,0.7424,0.5944,0.1852,8.0621,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
Polyaniline,0.8393,0.695,0.9464,8,653.6,0.9073,4.574,3.5943,0.2443,0.3824,0.4887,0.7258,0.1343,6.9297,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Polypyrrole,0.8126,0.7508,0.9338,15,2172.3,1.0697,4.2628,3.0483,0.1586,0.4577,0.5788,0.5227,0.3426,7.9382,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
Polyfluorene,0.865,0.8349,0.3923,29,3346.8,1.0188,5.0504,3.743,0.8887,0.5922,0.58,0.4899,0.0946,4.362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Polyaniline,0.7403,0.6873,0.8058,60,6838.6,1.2565,4.3684,2.9194,0.4383,0.5873,0.4688,0.4186,0.3994,7.0091,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Polythiophene,0.9633,0.7981,0.7651,39,3976.0,1.0225,4.5203,3.3324,0.814,0.375,0.7029,0.7035,0.2202,8.7272,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1
Polyfluorene,0.8413,0.9604,0.3902,40,4710.5,1.1487,5.0848,3.8991,0.4664,0.6642,0.542,0.291,0.0571,5.1464,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Polyfluorene,0.6947,0.8713,0.3797,79,13625.4,1.3463,5.1078,3.681,0.5025,0.4444,0.4125,0.5859,0.1781,3.7765,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Polypyrrole,0.9163,0.7016,0.8381,42,5610.8,0.948,4.5573,3.3446,0.6109,0.4623,0.5848,0.4532,0.1183,8.064,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polythiophene,1.0,0.8168,0.7295,13,2278.0,0.8136,4.71,3.7252,0.5535,0.6898,0.8945,0.3696,0.2273,8.6316,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Polyaniline,0.9168,0.6571,0.8564,19,1625.0,0.8265,4.2615,3.355,0.4269,0.4007,0.7278,0.6228,0.2311,8.3452,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
PEDOT,0.992,0.6945,0.6762,42,4714.3,0.8296,4.5838,3.6586,0.5051,0.4893,0.7698,0.6089,0.151,9.0681,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
Polythiophene,0.9366,0.6883,0.7917,65,7596.2,0.747,4.5229,3.6479,0.8355,0.6971,0.7066,0.2079,0.2963,9.2429,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
PEDOT,1.0,0.8219,0.6946,51,5446.7,1.0098,4.6677,3.628,0.6738,0.4849,0.7668,0.5652,0.0681,9.0846,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
Polyfluorene,0.7305,0.9463,0.3234,44,7460.4,1.5901,5.0889,3.2991,0.7698,0.7043,0.4344,0.3833,0.1172,4.6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Polyaniline,0.8358,0.6557,0.8344,40,7403.9,0.9547,4.3836,3.2548,0.2552,0.5051,0.5298,0.5324,0.36,7.8032,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Polyaniline,0.7772,0.5952,0.9838,59,6830.7,1.4628,4.0,2.2289,0.6329,0.5177,0.5025,0.4862,0.2802,6.9818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
Polyfluorene,0.8393,1.0,0.5559,8,1271.7,1.1033,5.0283,3.668,0.764,0.5966,0.5881,0.3892,0.0952,5.0031,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Polypyrrole,0.8242,0.7013,0.9623,53,5827.2,1.0965,4.1571,2.8377,0.8322,0.5346,0.6022,0.3243,0.3445,7.7859,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1
Polyaniline,0.7671,0.6945,0.9621,40,4577.1,1.2722,4.2589,2.6733,0.4524,0.5657,0.5662,0.378,0.205,7.5138,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
PEDOT,1.0,0.9113,0.6073,50,8942.0,0.9012,4.6435,3.5523,0.529,0.7244,0.7828,0.1505,0.0702,9.6299,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
PEDOT,0.8942,0.9344,0.7421,16,1534.3,0.7038,4.547,3.6426,0.5155,0.692,0.6519,0.2869,0.1949,9.6826,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Polyaniline,0.8879,0.6908,0.9458,23,4007.2,0.741,4.1012,3.2192,0.3085,0.5224,0.647,0.567,0.3883,7.98,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
Polypyrrole,0.8134,0.7346,0.8642,35,5048.9,0.9256,4.5149,3.451,0.7046,0.3716,0.5002,0.6061,0.2253,7.3808,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Polyaniline,0.8517,0.672,0.9041,61,7831.0,1.0712,4.3148,2.907,0.796,0.3499,0.5173,0.5735,0.0978,7.1175,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Polyfluorene,0.7768,0.9805,0.4925,66,11653.3,1.1744,4.7907,3.4313,0.438,0.5223,0.518,0.5388,0.0514,4.1567,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Polyaniline,0.7556,0.5539,0.9544,67,12098.9,1.2814,4.2946,2.9164,0.1298,0.3359,0.48,0.7455,0.3781,7.1719,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Polyaniline,0.945,0.7428,0.7707,34,6173.9,1.1107,4.5733,3.324,0.5074,0.2592,0.6602,0.7437,0.1996,7.1162,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0
